OADB,EADB,EAWB,RH,TC,SHC,kW,airflow,SFP
75,75,72,86.8608738,355000,147875,19.4,12500,
75,75,67,66.74944445,330000,206500,18.9,12500,
75,75,62,48.63860876,309000,254625,18.5,12500,
75,75,57,32.28326182,307000,271750,18.4,12500,
85,85,75,63.56878019,348000,188850,21.6,10000,
85,85,72,54.09934936,332000,222600,21.3,10000,
85,85,67,39.60494643,310000,274700,20.8,10000,
85,85,62,26.55238089,288000,319150,20.4,10000,
85,85,57,14.76500445,283000,315600,20.3,10000,
85,85,75,63.56878019,353000,199575,21.8,11250,
85,85,72,54.09934936,337000,236431.25,21.4,11250,
85,85,67,39.60494643,315000,293668.75,20.9,11250,
85,85,62,26.55238089,294000,335193.75,20.5,11250,
85,85,57,14.76500445,291000,324581.25,20.4,11250,
85,85,75,63.56878019,357000,210750,21.8,12500,
85,85,72,54.09934936,341000,250812.5,21.5,12500,
85,85,67,39.60494643,318000,311500,21,12500,
85,85,62,26.55238089,299000,346375,20.6,12500,
85,85,57,14.76500445,299000,333562.5,20.6,12500,
95,95,75,40.20910644,335000,269400,23.9,10000,
95,95,72,33.29467909,321000,308650,23.6,10000,
95,95,67,22.71109727,300000,361300,23.2,10000,
95,95,62,13.1803221,278000,403650,22.8,10000,
95,95,57,4.573367842,275000,372350,22.7,10000,
95,95,75,40.20910644,340000,292931.25,24,11250,
95,95,72,33.29467909,325000,334356.25,23.7,11250,
95,95,67,22.71109727,304000,390356.25,23.3,11250,
95,95,62,13.1803221,284000,422075,22.9,11250,
95,95,57,4.573367842,283000,383237.5,22.9,11250,
95,95,75,40.20910644,343000,313812.5,24.1,12500,
95,95,72,33.29467909,330000,354937.5,23.8,12500,
95,95,67,22.71109727,308000,418000,23.4,12500,
95,95,62,13.1803221,290000,436437.5,23,12500,
95,95,57,4.573367842,290000,393125,23,12500,
105,105,75,25.13447896,323000,354500,26.6,10000,
105,105,72,20.02318878,310000,397500,26.3,10000,
105,105,67,12.19958243,288000,447500,26,10000,
105,105,62,5.154232901,268000,474500,25.5,10000,
105,105,57,-1.208208779,266000,422750,25.5,10000,
105,105,75,25.13447896,328000,387312.5,26.7,11250,
105,105,72,20.02318878,314000,427500,26.4,11250,
105,105,67,12.19958243,292000,485593.75,26,11250,
105,105,62,5.154232901,275000,493843.75,25.6,11250,
105,105,57,-1.208208779,274000,434875,25.7,11250,
105,105,75,25.13447896,331000,419125,26.8,12500,
105,105,72,20.02318878,318000,459562.5,26.5,12500,
105,105,67,12.19958243,296000,523000,26.1,12500,
105,105,62,5.154232901,280000,517187.5,25.8,12500,
105,105,57,-1.208208779,280000,445000,25.8,12500,
115,115,75,15.36478347,309000,440150,29.6,10000,
115,115,72,11.54235461,297000,478850,29.4,10000,
115,115,67,5.691546355,275000,532700,29,10000,
115,115,62,0.422749936,256000,550450,28.7,10000,
115,115,57,-4.335340464,255000,462900,28.7,10000,
115,115,75,15.36478347,313000,484168.75,29.7,11250,
115,115,72,11.54235461,300000,521500,29.4,11250,
115,115,67,5.691546355,278000,580831.25,29.1,11250,
115,115,62,0.422749936,263000,564187.5,28.8,11250,
115,115,57,-4.335340464,263000,479562.5,28.8,11250,
115,115,75,15.36478347,317000,527187.5,29.8,12500,
115,115,72,11.54235461,303000,564187.5,29.5,12500,
115,115,67,5.691546355,281000,628000,29.1,12500,
115,115,62,0.422749936,269000,586625,28.9,12500,
115,115,57,-4.335340464,269000,490375,28.9,12500,
-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------
75,75,75,100,339000,119025,19,5500,
75,75,72,86.8608738,324000,135025,18.7,5500,
75,75,67,66.74944445,297000,160507.5,18.3,5500,
75,75,62,48.63860876,273000,188297.5,17.9,5500,
75,75,57,32.28326182,251000,215297.5,17.6,5500,
75,75,75,100,356000,121281.25,19.4,6875,
75,75,72,86.8608738,340000,137255,19,6875,
75,75,67,66.74944445,312000,171756.25,18.5,6875,
75,75,62,48.63860876,288000,207000,18.1,6875,
75,75,57,32.28326182,268000,234646.875,17.8,6875,
75,75,75,100,368000,112946.25,19.6,8250,
75,75,72,86.8608738,351000,143576.25,19.3,8250,
75,75,67,66.74944445,323000,183761.25,18.7,8250,
75,75,62,48.63860876,298000,223853.75,18.3,8250,
75,75,57,32.28326182,283000,249752.5,18.1,8250,
75,75,75,100,377000,122740.625,19.8,9625,
75,75,72,86.8608738,359000,146976.25,19.4,9625,
75,75,67,66.74944445,331000,193917.5,18.9,9625,
75,75,62,48.63860876,305000,239388.125,18.5,9625,
75,75,57,32.28326182,296000,261446.25,18.3,9625,
85,85,75,63.56878019,329000,152975,21.1,5500,
85,85,72,54.09934936,313000,177202,20.8,5500,
85,85,67,39.60494643,289000,208097.5,20.4,5500,
85,85,62,26.55238089,265000,237702.5,20.1,5500,
85,85,57,14.76500445,243000,263702.5,19.8,5500,
85,85,75,63.56878019,344000,164718.75,21.5,6875,
85,85,72,54.09934936,329000,193596.875,21.2,6875,
85,85,67,39.60494643,303000,233243.75,20.7,6875,
85,85,62,26.55238089,279000,269000,20.4,6875,
85,85,57,14.76500445,262000,291975,20.1,6875,
85,85,75,63.56878019,355000,188303,21.7,8250,
85,85,72,54.09934936,339000,211877.5,21.4,8250,
85,85,67,39.60494643,313000,256692.5,20.9,8250,
85,85,62,26.55238089,289000,300692.5,20.5,8250,
85,85,57,14.76500445,276000,308340,20.3,8250,
85,85,75,63.56878019,364000,195847.5,21.9,9625,
85,85,72,54.09934936,346000,229553.125,21.5,9625,
85,85,67,39.60494643,321000,278611.875,21.1,9625,
85,85,62,26.55238089,295000,323082.5,20.6,9625,
85,85,57,14.76500445,288000,321495,20.5,9625,
95,95,75,40.20910644,319000,220750,23.5,5500,
95,95,72,33.29467909,305000,231490,23.3,5500,
95,95,67,22.71109727,280000,256952.5,23,5500,
95,95,62,13.1803221,256000,288675,22.7,5500,
95,95,57,4.573367842,235000,308952.5,22.4,5500,
95,95,75,40.20910644,333000,235690.625,23.8,6875,
95,95,72,33.29467909,319000,251884.375,23.6,6875,
95,95,67,22.71109727,293000,294690.625,23.3,6875,
95,95,62,13.1803221,270000,333825,23,6875,
95,95,57,4.573367842,254000,342481.25,22.6,6875,
95,95,75,40.20910644,344000,270235,24.1,8250,
95,95,72,33.29467909,328000,284983.75,23.8,8250,
95,95,67,22.71109727,303000,331067.5,23.4,8250,
95,95,62,13.1803221,278000,372428.75,23.1,8250,
95,95,57,4.573367842,268000,363287.5,22.9,8250,
95,95,75,40.20910644,352000,275285.625,24.3,9625,
95,95,72,33.29467909,335000,313814.375,24,9625,
95,95,67,22.71109727,309000,364990.625,23.6,9625,
95,95,62,13.1803221,285000,406402.5,23.1,9625,
95,95,57,4.573367842,280000,380051.875,23.1,9625,
105,105,75,25.13447896,309000,276250,26.3,5500,
105,105,72,20.02318878,294000,284662.5,26.1,5500,
